"KEY","Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
## 0402 capacitors
"CAPA_15p_0402______","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005CH1H150J050BA","445-10834","http://www.digikey.com/product-detail/en/C1005CH1H150J050BA/445-10834-1-ND/3952500","_","_"
"CAPA_15p_0402_50_5%_CH","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005CH1H150J050BA","445-10834","http://www.digikey.com/product-detail/en/C1005CH1H150J050BA/445-10834-1-ND/3952500","_","_"
"CAPA_20p_0402______","Dipoles_SMD:C_0402","http://capacitoredge.kemet.com/capedge2/DataSheet?pn=CBR04C200F5GAC","Kemet","CBR04C200F5GAC","399-8786","http://www.digikey.com/product-detail/en/CBR04C200F5GAC/399-8786-1-ND/3479845","_","_"
"CAPA_20p_0402_50_1%_C0G","Dipoles_SMD:C_0402","http://capacitoredge.kemet.com/capedge2/DataSheet?pn=CBR04C200F5GAC","Kemet","CBR04C200F5GAC","399-8786","http://www.digikey.com/product-detail/en/CBR04C200F5GAC/399-8786-1-ND/3479845","_","_"
"CAPA_100p_0402______","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/spec/mlccspec_commercial_general_midvoltage_en.pdf","TDK","C1005C0G1H101K050BA","445-13760","http://www.digikey.com/product-detail/en/C1005C0G1H101K050BA/445-13760-2-ND/3950996","_","_"
"CAPA_100p_0402_50_10%_C0G","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/spec/mlccspec_commercial_general_midvoltage_en.pdf","TDK","C1005C0G1H101K050BA","445-13760","http://www.digikey.com/product-detail/en/C1005C0G1H101K050BA/445-13760-2-ND/3950996","_","_"
"CAPA_220p_0402______","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/spec/mlccspec_commercial_general_midvoltage_en.pdf","TDK","C1005C0G1H221K050BA","445-13765","http://www.digikey.com/product-detail/en/C1005C0G1H221K050BA/445-13765-2-ND/3951001","_","_"
"CAPA_220p_0402_50_10%_C0G","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/spec/mlccspec_commercial_general_midvoltage_en.pdf","TDK","C1005C0G1H221K050BA","445-13765","http://www.digikey.com/product-detail/en/C1005C0G1H221K050BA/445-13765-2-ND/3951001","_","_"
"CAPA_330p_0402______","Dipoles_SMD:C_0402","https://product.tdk.com/info/en/catalog/spec/mlccspec_commercial_general_midvoltage_en.pdf","TDK","C1005C0G1H331K050BA","445-13767","http://www.digikey.com/product-detail/en/C1005C0G1H331K050BA/445-13767-2-ND/3951003","_","_"
