KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
RES_1_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R00FKED","541-1.00LL","http://www.digikey.com/product-detail/en/CRCW04021R00FKED/541-1.00LLCT-ND/1961882","_","_"
RES_1_0402_0.063_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R00FKED","541-1.00LL","http://www.digikey.com/product-detail/en/CRCW04021R00FKED/541-1.00LLCT-ND/1961882","_","_"
RES_1.0_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R00FKED","541-1.00LL","http://www.digikey.com/product-detail/en/CRCW04021R00FKED/541-1.00LLCT-ND/1961882","_","_"
RES_1.1_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R10FKED","541-1.10LL","http://www.digikey.com/product-detail/en/CRCW04021R10FKED/541-1.10LLCT-ND/1961886","_","_"
RES_1.2_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R20FKED","541-1.20LL","http://www.digikey.com/product-detail/en/CRCW04021R20FKED/541-1.20LLCT-ND/1961890","_","_"
RES_1.3_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R30FKED","541-1.30LL","http://www.digikey.com/product-detail/en/CRCW04021R30FKED/541-1.30LLCT-ND/1961894","_","_"
RES_1.5_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R50FKED","541-1.50LL","http://www.digikey.com/product-detail/en/CRCW04021R50FKED/541-1.50LLCT-ND/1961900","_","_"
RES_1.6_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R60FKED","541-1.60LL","http://www.digikey.com/product-detail/en/CRCW04021R60FKED/541-1.60LLCT-ND/1961903","_","_"
RES_1.8_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04021R80FKED","541-1.80LL","http://www.digikey.com/product-detail/en/CRCW04021R80FKED/541-1.80LLCT-ND/1961909","_","_"
RES_2.0_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04022R00FKED","541-2.00LL","http://www.digikey.com/product-detail/en/CRCW04022R00FKED/541-2.00LLCT-ND/1961914","_","_"
